Region,documentid,stanzaid,stage,ZA,HJ,ZC,GM,HX,LX,JN,XS,ZZ
guangdong,gd_meeting2,gd_mt2_st4,stage1,0,1,0,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st14,stage1,0,0,0,1,1,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st48,stage1,1,0,1,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st50,stage1,1,1,0,0,0,0,1,1,0
guangdong,gd_meeting2,gd_mt2_st53,stage1,1,0,0,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st80,stage1,0,0,1,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st82,stage1,0,0,0,0,0,0,0,0,1
guangdong,gd_meeting2,gd_mt2_st102,stage1,1,0,1,0,0,0,0,1,1
guangdong,gd_meeting2,gd_mt2_st111,stage1,1,0,0,1,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st112,stage1,0,0,0,1,1,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st113,stage1,0,1,0,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st120,stage1,0,0,0,1,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st143,stage1,0,1,1,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st173,stage1,0,0,0,1,1,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st175,stage1,0,0,0,1,1,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st195,stage1,1,0,1,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st215,stage1,0,1,1,0,0,0,1,1,0
guangdong,gd_meeting2,gd_mt2_st217,stage1,0,0,0,0,0,1,0,1,0
guangdong,gd_meeting2,gd_mt2_st230,stage1,0,0,0,1,1,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st259,stage1,1,0,1,0,0,0,1,1,0
guangdong,gd_meeting2,gd_mt2_st4,stage2,0,0,1,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st14,stage2,0,0,0,0,1,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st48,stage2,0,1,0,0,0,0,1,1,1
guangdong,gd_meeting2,gd_mt2_st50,stage2,0,1,0,0,0,0,0,1,0
guangdong,gd_meeting2,gd_mt2_st53,stage2,1,0,1,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st80,stage2,1,0,1,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st82,stage2,0,1,0,0,0,0,1,1,1
guangdong,gd_meeting2,gd_mt2_st102,stage2,0,0,1,0,1,0,0,1,0
guangdong,gd_meeting2,gd_mt2_st111,stage2,1,0,1,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st112,stage2,0,0,0,0,1,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st113,stage2,1,0,0,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st120,stage2,0,0,0,0,1,1,0,0,0
guangdong,gd_meeting2,gd_mt2_st143,stage2,1,0,1,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st4,stage3,0,0,0,0,0,0,1,1,0
guangdong,gd_meeting2,gd_mt2_st14,stage3,1,0,0,0,0,0,0,0,0
guangdong,gd_meeting2,gd_mt2_st48,stage3,1,0,0,1,0,0,0,1,0
guangdong,gd_meeting2,gd_mt2_st50,stage3,0,0,1,0,0,0,0,0,0
guangdong,gd_meeting1,gd_mt1_st12,stage1,0,1,0,0,0,0,0,0,0
