Region,document-id,stanzaid,Content,stage,code,AA,CG,CM,IL,KB,LD,LP,MT,MU,PA,RI
广东,20180123上午交流,1,整个行业的发展是起到这种积极的作用，这个我们都感受得到。回想我们自己，我想我们做这项工作，我们应该对它的价值、作用会有更深的认识，我们之前在做这项工作的时候，应该大家都有所了解，我们初中是要建立人才培养立交桥，开始的时候是职业教育的产业需求，职业教育发展的需求，我们的中职毕业生要升高职，高职的毕业生还要继续教育，要提升自己，通过什么途径？我们要搭建这样的立交桥，为学生拓展他升学的途径、继续教育的途径，为这样的初衷来做资历框架等级标准，做下来以后，越来越发现这项工作它的意义和价值，尤其是在当前构建粤港澳大湾区高质量发展这样一种愿景的同时，更加感受到资历架构对推动湾区高校学分互认、课程互认，推动湾区的人才流动起到非常关键的作用，因此我们在这项工作的时候要带使命感，昨天黎总也说了，我们确实要有强烈的使命感来从事这项工作，这样把这项工作当成事业来去追求，比如说年轻人，如果自己能够积极投身当中去，去研究、思考它，我们会在这过程当中得益很多，会有很多的成果，会在这工作当中逐渐地成长起来，因此我希望我们带着一种积极的态度来去积极投身这样的工作当中。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
广东,20180123上午交流,2,另外一个，我们想在做这项工作的同时，还要理念先导，什么理念？这就是我们国际通行的，目前不管专业认证也好，包括本科的审核评估也好，包括之前职业教育的专业标准的构建也好，我们坚持的一个是学生中心、结果导向，我们对结果导向的理解，个人可能会有自己的理解，但是结果导向一定是岗位需求，即职业教育的需求导向，岗位需要的，我们就在岗位去寻找岗位的能力，他有哪些能力，我们去寻找、梳理、分析它，然后把能力梳理出来以后，按照建构主义理论，因为搞教育学的人都知道，重新按照教育教学资历，建构出一种能力单元，建构出我们教育、教学需要的符合学生认知心理、成长、符合学习者学习需要的这样的一些能力单元，所以它才有级别，要不然该级别没有用。,初期,"MU,KB",0,0,0,0,1,0,0,0,1,0,0
广东,20180123上午交流,3,第三个，从我们省厅的角度，我们要做的工作非常多，也感觉到责任重大，任重道远，目前要做的工作可能是制度建设、配套的政策，这块我们回去要好好研究，昨天在会前和黎总、学术评审局的有关负责人都做了一个交流，我们回去会做相关的方案，做出方案以后，粤港会充分交流，在制度建立的当中需要做什么东西，包括评审流程、第三方的评价机制，包括质量保障体系等等这样的工作，我们都会做一些安排。这样的话，这是下一步的工作。,初期,"LP,AA,CM,PA",1,0,1,0,0,0,1,0,0,1,0
香港,20180123上午交流,4,我们希望这一次的最重要的也是我们最初想要达到的一个目的是汽车和机械两个项目团队通过培训，今年能够加快行业标准的研制。我也和两个项目沟通过，本来想着今年6月份能不能把行业标准初稿拿出来，然后请黎总、学术评审局的这些专家来给我们把脉、评审，结果6月份做不出来，7月份一放假，给你们一个月的时间做，8月份拿出来，8月份两个初稿拿出来以后，组织论证，请香港的专家给我们论证，看能不能确保今年能够有一个行业标准的试点出来，还要引进一个行业标准，今年我们有阶段性的成果能够向领导交代，这项工作做了几年，我们一直都没有正式的和领导做一个汇报，希望今年有一个阶段性的成果能够向领导做一个汇报。这是我的一些想法，和大家沟通一下。,初期,"AA,CM,KB,LD",1,0,1,0,1,1,0,0,0,0,0
香港,20180123上午交流,5,黎总，我这边只有一个小的疑惑，在我们汽车后市场的标准里面，有四个职能范畴，其中一个是销售及市场推广，然后下面的一个职能是汽车销售的环节，我想问一下这里面是不是把一些有关二手车的销售业务以及列的一些岗位的能力也包含进去了？在香港二手车这块的业务，发展量也是比较大，二手车它的一些能力标准和新车的销售，二手车的销售这一块和新车销售的这一块，有些能力是重复的，除此之外，还有一些是否是个性化比较有新意、内容不同的地方，这一块，我们香港怎么样处理、写的？先问一下这个问题。,初期,"AA,KB",1,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,6,感谢你们的问题，或者我先说一下在香港做的概念是怎么样，然后实际包括一些什么能力，再请蔡先生补充一下内容。刚才你的问题问得很好，其实每个行业去定究竟首先在行业里面写一个能力标准，那个行业里面的范围其实很广泛，刚才吴老师都说了，其实范围这么广，是否所有东西都写进去？究竟写哪个职能范畴？第一个，我们要觉得做那样东西是否有市场价值、培训需要？这有没有市场价值、培训需要，很清楚的告诉行业培训咨询委员会知道，业界要清楚究竟写是做什么，我们在做的过程里面，很清楚告诉业界，因为我们就这样和他们开会，资源由我们出，即由政府去承担，对业界来说，其实他没有一个即时的反应是，究竟应该做和不应该做，因为不是一个生意，他会觉得什么都做，所有东西都有关，所以我们一定要很清楚界定，告诉他们，和他们有充分的沟通，我们写的能力不是所有行业每一个岗位的能力都写进去，是有需要、有市场价值、有岗位的培训需要，我们才写。在这样的大前提底下，我们也都会告诉业界和他们沟通，行业可能很大，有的时候分开不同的门类，我们都会分阶段去做，未必一个项目全部都做完。比如说香港汽车业，第一次做的时候，范围都比较集中。,初期,"AA,CM,KB,RI",1,0,1,0,1,0,0,0,0,0,1
香港,20180123上午交流,7,第二个，职能范畴其实在刚才我所说的大前提之下，由行业去沟通，由行业培训咨询委员会觉得哪几个职能范畴里面需要做，当我定了职能范畴的时候，我昨天都有说过，每一个职能范畴里面，其实心目中在行业里面有一些主要的岗位，对于这些岗位来说，我们不是说着个别公司的岗位，而是在整个行业来说，可能在甲公司里面，销售都有几级，在乙公司里面，可能有一个职位的销售，但是整个行业的情况，因为说的是行业能力标准，因此一般情况之下，在行业里面，其实销售来说，说的是一个职位还是两个职位，是不是一个销售、一个高级销售，销售什么？以那个岗位作为一个目标、基础，如果那个岗位本身有培训基础，需要将岗位里面究竟有些什么任务、能力写出来。,初期,"AA,CM,KB",1,0,1,0,1,0,0,0,0,0,0
香港,20180123上午交流,8,我知道昨天你们都有问到一个问题，究竟能力写到多细，我们说的职务即你们说的任务，需要用能力去做的一样东西，如果在概念、理论上面来说，一个能力单元应该写到最细，不应该有再分，再分也没有什么意思。但是这是一个很概括、很学术性的解释，但实际上到操作的时候，应该说专业撰写人和行业有所沟通，所谓的任务或者需要的能力是否需要再细分？如果你说有些没有得再细分，任务已经是能力单元。第二个，我们也要印证能力单元，因为将来来说，能力单元的用途其中一个很主要的是用来做课程，因此能力单元绝对不能够包含太多，也看到一个能力单元来说，其实它的学分是多少，在香港来说是需要学习的时数是多久，一般来说是3-6个学分，当然你的学分太大的时候，其实你将来来说，因为没有得再拆，变成了最少都要用一个能力单元作为一个课程，通常来说，做一个课程应该不止一个能力单元，办证就会大一些，如果学分太大，办证就会小一点。,初期,"CM,KB",0,0,1,0,1,0,0,0,0,0,0
香港,20180123上午交流,9,刚才你问到二手车的情况怎么样，稍后蔡先生会说，其实香港有分阶段，开始的时候，当时候行业究竟岗位究竟需要处理一些什么样的能力，我就写了那些，到了后期的时候需要觉得行业能力不够，有些地方需要更新。昨天都有提到进阶路径的概念，即岗位与岗位之间需要的能力，其实岗位就算同一个岗位的名称也好，可能随着社会的进步、行业的发展，岗位所需要的能力都有不同，所以到这么样，可能那个岗位在三年前就需要这五个能力单元，到现在来说，可能有些能力单元不适用，也有些可能要加进去。第二方面，也会有新增的行业岗位，以前可能没有资讯科技的岗位，现在有的时候，我们能力标准说明没有包含这些能力的时候，也都需要写进去。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,10,都是那样东西，究竟行业有没有培训需要？培训需要是在于什么？都有几个因素。我们整天说着供求的问题，供求究竟是雇主所需要那种能力，这是一个供求的问题，但是也要看到雇主很需要有人做某一样事情，但是工资本身配合不了，其实就算有培训也好，在香港的情况，工人、工友、从业员不会选读这些课程，不会选择入行，不是因为你有培训就会入行，因此这样东西，究竟我们要解决一个什么问题？当我们和行业去谈，说做一个能力标准的时候，当然从业界的角度，可不可以解决他们舒缓劳工这个问题，不够人手，透过培训去培养更多的人才。但是如果你的工资本身来说不到位，又或者它竞争力不够的时候，其实你是从业员也会选择不进这个行业，而进第二个行业。从这里来看，我们帮行业去写那套能力标准，帮岗位去制定能力的时候，也都要提出这一点，究竟哪一些有需要，这是在概念上面有一些补充，或者请蔡先生说一说在汽车业来说，我们写的那些能力单元的时候，特别是在二手车来说，我们的处理是怎么样。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,11,谢谢黎总，我都再解释一下，在香港比如说在汽车销售这一部分，我们能力单元有汽车销售，其实已经包括了销售新的汽车和销售二手汽车，我们没有在能力单元再分拆开哪些是卖新车，哪些是销售二手车，为什么有这样的原因？其实在行业做能力标准的时候，他们发现无论是香港销售新车还是二手汽车，他们工作的流程、能力要求其实很相似，于是他们写的时候，将销售的能力单元即能力要求写在一个单元上面，从业员他只要符合这些能力要求，无论卖二手车也好，卖新车也好，都可以应付。,初期,"AA,KB",1,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,12,第二个，香港其实汽车业也都很小，变成他们从业员很多时候会有流动，意思是他们会从一个卖二手车的公司转到卖新车的，比如说代理行这样，能力要求方面他们如果达到一个标准，可以流动，意思是行业里面无论哪家公司都可以适用，情况就是这样。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
香港,20180123上午交流,13,我再补充一点，昨天我都说过写能力的时候，我们是写一些前瞻性和行业上面概括性的，刚才一个例子就是说，我们卖车，其实卖二手车和卖新车本身需要的能力，可能我销售技巧，在销售技巧方面，不是说汽车产品的知识，销售技巧其实没有分别，如果销售技巧没有分别的时候，就不需要特别一个单元写卖新车，一个单元写卖二手车。当然在我们写能力的时候，特别昨天提到，比如说我用一些文书工作，不会去说用什么软件，就不会说特别是用A软件、甲软件，还是用乙软件，这用什么软件，其实留给院校、培训机构提供课程的时候，他们决定教什么软件，而我们只是说你能够利用到某一些的软件做到某一些的工作，其实我们成效标准是做到某一些的工作，至于用什么方法、软件去做，今天写的软件和明天写的软件都有不同，因此希望写那个能力的时候，虽然猜测不到五年后需要一些什么能力，但是希望能力持续性都有一定的部分在，不用说很耗费我们的资源，我们写完之后，东西已经是旧了。,初期,"KB,RI",0,0,0,0,1,0,0,0,0,0,1
香港,20180123上午交流,14,我想重点不是说香港和国内的情况有没有不同，这当然可以有不同，重点是写能力的时候，刚才你说得很对，如果大家需要的能力有不同，如果卖二手车的时候，需要检查，可能检查都是一个能力，你卖新车不需要做检查，变成了有不同，究竟你的检查和卖其实是两个能力，可以是两个单元，不过你在一个岗位里面，可能将来来说，在卖二手车的岗位来说，有不同的能力，一个能力是销售，另一个能力是懂得检查二手车或者货车，但是销售的能力，如果放在卖新车的时候，可能是同一样东西，这是否这样，得看你的情况，只不过我们知道概念是怎么样。因为本身秘书处不会懂各个行业，那些是留给专业撰写人和行业去决定究竟是需要什么能力，毕竟在写的时候，会给一些宏观的建议，有些东西不需要重复，如果是这样，其实将很多岗位并列去看的时候，可能有一些是跨岗位的能力，那些写一次就可以，不过将来来说，如果我是一个培训机构、院校，要提供一个课程的时候，一个是卖新车的课程，另一个是卖二手车的课程，课程的内容当然有不同，刚才大家都说了，但是有些地方是共通的。假设我报读一个课程的时候，想读完两个课程的时候，可能中间有些地方可以豁免，不需要重复去读，概念是一样。,初期,KB,0,0,0,0,1,0,0,0,0,0,0
广东,20180123上午交流,15,各位专家，各位领导，大家上午好！我是来自于祖国北方的，所以对粤语听得很一般，昨天很多信息没有听到，因此我今天问几个问题，可能也许昨天已经讲到了，如果没有讲到，还请各位黎经理、颜先生、蔡先生给予解答一下，谢谢！,初期,"KB,LD",0,0,0,0,1,1,0,0,0,0,0
香港,20180123上午交流,16,第一个，看到下发的资料是IMI，看到这个以后我很亲切，因为我们大概是在2008年的时候和英国的CDM有过合作与交流，因此对英国NVQ以及VRQ有过一些信息的交流。我第一个问题想了解一下，目前香港的资历框架和VRQ以及NVQ有什么区别？我是讲完所有的问题再交流，还是一个问题、一个问题？,初期,"CM,CG,KB",0,1,1,0,1,0,0,0,0,0,0
